Track ID,Area ID,Race Date,Race Year,Race Month,Race day,Race No,Horse Name,Horse Reference No,Jockey,Jockey ID,Trainer,Trainer ID,Owner,Owner ID,Sire,Dam,Dam Sire,Breeder,PP,Age,Sex,Med,Weight,ML Odds,Claim
GP,USA,"March 13, 2025",2025,3,13,1,High Strike (KY),10795103,J E Morelos,169518,F B Labo,3175,The Apple Of Her Eye LLC (John F. Vargas),2951536,Bee Jersey,Ima Soul Miss,Perfect Soul (IRE,Charles Fipke,1,5,H,L,120,5/1,"$12,500"
GP,USA,"March 13, 2025",2025,3,13,1,Paschal Moon (NY),10882814,M A Vasquez,155088,J P Young,945284,Paterpop Racing LLC (Peter Castellanos),2288376,Majestic City,Pluto Flight,Silent Name (JPN,"Phoenix Stable, Inc.",2,5,G,L,122,5/2,"$12,500"
GP,USA,"March 13, 2025",2025,3,13,1,Cross Haste (FL),10602611,R   Rojas,159339,B   Campos,116796,Bersalu Farm Inc. (Bernardo Campos),1919720,Cross Traffic,Moontune Missy,Forest Wildcat,GoldMark Farm,3,6,H,L,120,20/1,"$12,500"
GP,USA,"March 13, 2025",2025,3,13,1,Hey Cue (ON),10765018,T   Gaffalione,154538,M   Drexler,224281,Randy Exelby,1962996,Accelerate,Cumulonimble,Stormy Atlantic,Ron Clarkson,4,5,G,L,122,9/5,"$12,500"
GP,USA,"March 13, 2025",2025,3,13,1,Lunar Rocket (KY),10604333,D   Boraco,113417,D S Harvey,158167,Delroy P. Wallace,1922124,Munnings,Lunar Lullaby,Malibu Moon,"Castle Park Farm LLC, Richard Kaster &Nancy Kaster",5,6,G,L,120,15/1,"$12,500"
GP,USA,"March 13, 2025",2025,3,13,1,Gone Nuts (FL),10582818,E   Jaramillo,85995,P R Garcia,964812,"San Francisco Group Stable, LLC (Pedro Garcia)",2290425,Gone Astray,Daytime Promise,Five Star Day,J. R. Cavanaugh,6,6,G,L,120,8/1,"$12,500"
GP,USA,"March 13, 2025",2025,3,13,1,Apollo Code (NY),10998981,R   Maragh,109379,J   Negrete,249510,Aramis Hernandez,1851124,Honor Code,Run a Dubb Dubb,Harlington,Kelly Zanella & Paul Zanella,7,4,G,L,120,3/1,"$12,500"
FG,USA,"March 13, 2025",2025,3,13,1,All Rizz (KY),11147356,J   Graham,107418,J K Desormeaux,15262,Rizz Racing LLC (Kirk Godby),2360610,Free Drop Billy,Tosha,Any Given Saturday,"Terrazas Thoroughbreds, Archie Barnes &Corser Thoroughbreds, LLC.",1,3,C,L,122,12/1,"$15,000"
GP,USA,"March 13, 2025",2025,3,13,2,Gray Lark (KY),11113162,M A Vasquez,155088,J   Engler,268213,Anthony Marchese,2323873,Cairo Prince,Furtive Glance,Elusive Quality,"International Equities Holding, Inc.",1,3,F,L,118,8/1,"$12,500"
FG,USA,"March 13, 2025",2025,3,13,1,Shriner (KY),11142321,E M Murray,156060,E L Heitzmann,37013,Super XLIV (Mike Heitzmann),2115786,Gormley,Teelfa,Northern Afleet,"Mike Heitzmann, Eric Heitzmann & JeffPrunzik",2,3,C,L,122,12/1,"$15,000"
